1000
59,-74
13,-92
46,21
-18,-60
-35,-88
46,87
-74,67
-45,35
69,82
97,18
-42,-47
-44,68
-50,-57
-14,-28
82,-25
-89,-34
23,-73
23,-67
-63,17
-49,-27
49,15
-93,-49
73,-85
6,-82
7,13
-71,92
-50,-52
-94,6
70,44
57,2
-65,-91
-43,90
-100,-21
-36,98
-56,-78
-2,-48
30,24
68,43
-55,-95
95,-65
37,-32
65,-31
-54,-82
-84,-26
-79,-83
-38,-8
59,48
-62,39
-43,-83
-50,-6
51,7
73,-15
-85,77
-38,25
-21,-38
-40,65
49,22
65,66
-56,88
43,82
-38,89
77,-73
59,-95
-8,81
-15,-71
-15,-73
54,1
-16,-71
-6,-20
-46,-31
56,-10
95,58
56,-4
42,-63
83,-28
-5,-31
-27,-33
-69,61
30,46
25,-90
-16,-19
-60,-50
77,-68
-90,-52
-62,35
-29,63
34,-26
-74,71
94,-82
-29,-38
-38,-45
97,-87
33,-84
54,-14
-31,22
-1,48
55,-57
84,-25
-50,44
81,23
-15,-6
98,-52
-100,31
34,98
-59,-41
67,12
-26,-38
47,-71
-17,-74
16,60
-22,24
79,15
-65,22
-92,-10
-10,50
21,-51
-64,47
76,68
-44,49
-87,-99
-19,55
-56,-91
55,87
-27,-8
-5,55
91,-77
-73,-80
-55,61
14,-17
-88,-23
23,-56
8,-10
38,17
-25,27
-15,79
73,34
-87,15
-21,23
-21,69
60,-52
-52,16
94,34
59,-3
-79,-84
2,-86
-47,73
36,36
-22,-63
-54,53
-29,-63
12,46
-94,16
81,-43
-91,12
41,21
-18,45
22,64
-72,-93
-51,74
31,-60
-5,-42
-75,-30
26,-100
97,-23
-64,-59
-24,25
-3,22
35,2
9,-22
52,1
-13,9
-26,80
32,7
-50,72
7,-29
87,-28
-78,-69
41,-47
21,35
90,81
-41,32
-24,-1
-55,57
-53,99
-72,25
-3,71
-79,-71
52,86
83,-56
38,-82
49,-75
69,64
-46,-96
2,-34
81,-18
81,73
-12,70
-58,55
-67,75
35,74
-41,-50
43,81
74,-85
-50,92
-22,55
-31,-24
97,71
-68,-66
62,11
-56,-60
-46,81
-82,45
44,23
-17,-50
87,96
53,-92
9,63
58,-2
-19,87
90,-62
53,10
87,-75
-88,4
76,16
38,-92
93,21
30,-6
20,-22
-68,97
-63,-50
32,-100
-96,-19
-99,-39
66,-67
-88,33
52,74
20,-94
-14,43
93,92
33,-60
47,66
11,79
-97,-69
-22,-85
-57,-20
-34,-17
50,40
6,53
5,5
-76,51
37,42
3,-95
-45,-82
-99,24
-92,76
-15,-61
-36,97
3,65
-12,-75
-22,69
83,51
90,32
-34,-32
-76,79
-1,33
-62,-13
68,81
2,-96
-37,6
23,85
-71,53
-94,-34
94,-74
-81,53
-63,41
-36,-20
-73,-46
68,86
52,71
38,87
94,-78
-76,-25
38,97
-29,-17
-5,-2
2,82
1,-8
39,-71
44,23
37,-60
-51,-30
42,58
-32,57
-41,13
-87,15
-49,-9
67,36
90,-93
29,31
28,96
55,36
-42,38
-62,-19
78,34
14,39
-59,-71
-67,-2
38,23
-20,-35
-94,80
38,58
-31,79
-53,-90
-85,65
1,32
-1,-87
95,41
-16,13
-88,-97
19,86
78,25
98,-27
-26,-78
-42,-32
98,-33
27,-37
25,47
-42,96
-34,-21
-9,-72
-34,-87
-68,82
-61,-72
-66,-8
-87,-76
11,-24
45,-81
-98,-87
59,96
4,-76
51,46
67,-66
-96,-64
-13,-53
-18,-12
-53,33
11,-9
20,64
-8,-85
-66,-54
88,66
-46,73
55,-50
18,5
45,-55
-64,-30
74,-33
-24,19
-54,98
77,-97
40,86
-91,25
77,78
64,-46
-1,-63
20,44
61,-42
-65,84
-9,93
-22,53
18,82
1,-63
-49,76
58,-56
-86,-100
18,-6
-62,-69
5,-99
57,29
95,77
-14,-37
-95,8
24,-8
8,15
-69,-8
-73,-48
19,-76
-15,58
-16,72
-26,-100
-81,20
-61,-2
18,-74
5,30
53,-67
-73,62
98,1
-33,-46
76,93
12,58
-32,-57
-87,22
73,-35
74,-86
45,47
17,84
-46,94
57,66
-77,7
89,-3
86,77
62,97
-36,-36
-46,-83
56,-70
81,-9
-41,16
32,76
6,17
25,-48
-49,-9
84,-95
16,-58
8,-97
43,1
-70,-31
-96,-86
71,-10
-19,-85
-43,8
-89,57
-43,14
65,-74
24,38
-38,81
-41,6
82,36
-55,-6
92,56
-20,-79
56,-49
-27,-46
-100,12
-14,-55
44,-59
-6,-9
-41,-84
-59,-6
-66,-31
-60,-10
18,70
40,62
-58,24
-14,-33
68,-24
-3,25
34,-65
52,59
-17,-98
14,-47
39,-21
93,-80
-13,68
-54,65
-6,51
-40,22
16,90
3,86
10,11
-88,-25
-75,-81
-24,-32
44,69
56,-77
-36,-19
-90,-69
55,87
51,-62
77,19
-26,-27
-22,20
72,-83
-85,74
-92,44
32,66
-52,72
90,-62
-73,19
-97,24
-24,17
-89,-78
1,-87
41,-71
67,29
-61,-35
-92,91
-64,38
97,5
-54,-41
-48,69
60,-88
-9,-3
-68,-62
-59,16
59,-69
-65,-48
-58,57
-39,-44
-82,59
-24,86
-93,-21
4,-33
57,-43
35,-49
-59,21
-28,44
-29,7
56,99
30,-96
80,2
87,-49
69,-93
-70,56
48,-21
-24,41
-14,-13
82,-34
62,-20
7,-76
40,74
2,89
-26,-62
58,-9
80,35
-100,-38
25,-86
78,73
98,55
10,-4
-63,-99
9,-44
74,0
-65,85
61,-95
45,-25
-8,5
-37,-95
-100,98
76,31
-51,38
75,-87
-22,-86
-85,-29
8,-91
-33,-94
70,-90
87,39
-35,-54
-85,74
-98,73
30,74
90,24
69,-81
50,73
73,-100
79,79
-53,-2
-75,-4
77,60
-16,63
-24,51
38,38
5,-18
18,24
39,53
82,-98
28,-24
-92,-100
-77,53
-55,95
21,35
-64,-33
-73,90
62,-11
14,69
-32,-45
-11,-62
-4,78
-64,-49
-81,-13
1,-75
-67,-81
-83,76
-49,70
-11,-76
-27,-77
14,-12
-58,41
15,-30
10,15
19,-72
-90,70
-16,27
12,-11
80,-70
63,71
34,58
-6,-5
1,-84
-51,-50
39,91
-100,-11
-5,-55
40,-99
95,54
-37,65
40,4
67,-27
-85,-38
35,-11
-36,61
90,-42
-40,1
-11,56
94,47
-61,-2
-79,-40
75,27
-72,21
-26,-61
87,11
-6,-75
66,97
-70,-70
90,-79
-21,-61
-19,59
86,78
-99,41
-71,94
56,83
-94,-52
14,65
44,-20
28,-60
-56,-6
87,-5
2,53
-33,64
-8,-38
-30,-42
66,73
-33,-100
-83,-39
-27,96
26,-14
-9,-20
-17,-97
4,-55
11,-99
-47,50
1,50
76,85
-49,85
-43,-67
11,-64
-51,66
23,-3
-83,-67
80,13
47,-18
-94,31
14,58
-98,7
-88,-2
-52,-79
-47,-10
-92,20
56,-84
96,-19
49,-69
-96,-60
-15,-11
-63,24
56,85
86,-29
-35,97
-46,70
43,70
-65,-82
83,44
72,58
84,-10
82,59
58,-97
41,-99
-64,-2
64,15
-23,66
-54,-76
20,-23
50,-73
12,77
55,-44
-64,-62
76,86
80,78
-2,-95
-41,-54
-44,95
7,-22
66,53
-56,84
-66,66
-68,38
-8,76
23,-89
-3,5
94,45
-55,-94
34,25
22,19
-74,55
-79,-43
-100,59
-44,-69
10,-49
16,-58
11,96
83,27
43,88
-77,-2
45,99
-38,68
-19,92
-90,13
-100,-51
-40,81
55,-54
26,-12
63,76
66,-27
-19,-39
-34,-28
-6,-46
94,97
62,17
-37,45
2,-76
74,-74
-7,-48
76,-93
48,42
-70,-39
90,35
-13,-36
-31,-6
64,66
-78,50
-84,-16
33,89
-27,-74
97,-87
51,-18
85,14
-21,30
-28,0
95,10
-100,58
